songID | release date | popularity | length(s) | mood | keyID,songID,release date,popularity,length(s),mood,keyID
GI16EBBR472212847224553;10/11/202215*358*0.806[12],,,,,,
BG32YOBN86855961484151;5/3/202275*119*0.837[6],,,,,,
MC6373315882778456583428871;3/19/20225*111*0.83[5],,,,,,
GT46731234335805410134923864;2/7/202298*384*0.022[4],,,,,,
AZ10824124472106788537751832;6/2/202214*378*0.839[10],,,,,,
TR047741418035763393288344;11/30/202239*429*0.338[12],,,,,,
DO08025709323767932603538372;4/15/202297*248*0.491[4],,,,,,
HU89713238887711173483458932;9/17/202242*109*0.443[6],,,,,,
MT95FDCE12682478228175555236222;3/16/202260*131*0.922[12],,,,,,
TN7856562033662826542172;8/12/202260*244*0.061[5],,,,,,
KW6476935273704426435657314931;1/21/202238*406*0.535[15],,,,,,
TN6907761578787264133414;1/8/202273*312*0.391[4],,,,,,
CZ0325347798441747780495;7/31/202280*319*0.29[11],,,,,,
AZ56775194102171398360761737;3/9/202261*366*0.789[10],,,,,,
SK2437644241132286714504;8/15/20228*348*0.727[2],,,,,,
SM6683168888952949177252351;6/30/202257*283*0.457[6],,,,,,
GB36VIOC70431509173735;10/12/202279*361*0.998[13],,,,,,
AD0335778676125914360837;1/5/202279*364*0.636[3],,,,,,
RS49838602497331951764;3/28/202290*333*0.452[3],,,,,,
PK5635553544985268393042;12/13/202258*364*0.468[8],,,,,,
LI4512018768544304122;6/25/202235*89*0.26[2],,,,,,
TR955604117000580526335745;7/10/202295*402*0.922[5],,,,,,
LB94133596816255837443815002;10/7/20226*118*0.475[3],,,,,,
LT028575482876627562;11/28/202277*276*0.664[4],,,,,,
BA142476464672320747;12/10/202284*238*0.861[15],,,,,,
DO35472381644371833130678875;1/29/202241*138*0.671[3],,,,,,
LU452827503927423551;5/7/202222*146*0.428[6],,,,,,
LB21925953559945289682462862;6/9/20222*496*0.387[2],,,,,,
LT745814592446526582;10/18/202268*199*0.514[6],,,,,,
BA591542790254247335;11/28/202297*117*0.128[10],,,,,,
ES9815058535194349247393;4/25/202222*225*0.477[11],,,,,,
CY95624774917611163986614824;1/24/202289*249*0.13[8],,,,,,
NO7698633164877;3/13/202243*435*0.776[8],,,,,,
PT91177128297985837543713;6/26/202215*415*0.259[1],,,,,,
ES4709531025561087565040;9/10/202240*117*0.19[14],,,,,,
SI72534808891483114;4/9/202273*329*0.278[7],,,,,,
SI91354808316249277;4/27/202290*148*0.662[13],,,,,,
SA5881243317171793872609;5/28/202221*269*0.462[1],,,,,,
HU26076641139622568762420677;3/11/202222*76*0.755[15],,,,,,
GL6551362693488651;3/30/202296*327*0.665[11],,,,,,
HU30280442422855588613917866;6/9/202211*497*0.609[2],,,,,,
LV52XNMH4854535267163;10/4/202228*427*0.387[9],,,,,,
KZ077486047558544698;11/8/202267*402*0.758[3],,,,,,
LT663462565899616717;12/18/202284*196*0.349[11],,,,,,
SA7736553487427867653873;2/4/202271*165*0.813[7],,,,,,
DE59857319632177176242;5/21/202218*281*0.52[3],,,,,,
MK35370684877009625;10/16/202275*165*0.848[12],,,,,,
EE156144037726852452;1/25/202298*434*0.36[9],,,,,,
IL790015024533187208702;12/12/202252*227*0.136[15],,,,,,
GB28CGWE46202221559234;8/9/20225*443*0.921[3],,,,,,
IT985JANII28036801166805713;9/24/202241*91*0.779[11],,,,,,
MR5631921153808451180160925;9/8/20221*435*0.806[15],,,,,,
BG97GTNV53630312882664;10/7/202232*125*0.209[8],,,,,,
LV33VUEJ5959631707882;3/23/202259*310*0.859[6],,,,,,
IE67BPLR54417133709117;5/14/202232*204*0.435[4],,,,,,
MT85BHMS25347582571347611225322;8/9/202245*80*0.763[10],,,,,,
KW5625284437864543199598192646;12/8/202230*387*0.669[3],,,,,,
NL85AUQC5662696658;7/31/202217*383*0.566[9],,,,,,
FI2483075154682271;11/20/202277*166*0.964[3],,,,,,
PT61325442097492898246604;10/14/202276*113*0.246[7],,,,,,
KZ668268225322157887;8/26/202228*92*0.731[14],,,,,,
TN3132213619122341331475;3/24/202272*222*0.58[14],,,,,,
LT831565536152618635;12/21/202223*230*0.831[4],,,,,,
SI92140877166521041;9/27/202298*207*0.152[13],,,,,,
IS556509876755456524819252;5/18/202220*492*0.711[14],,,,,,
MU6183658638513434338848937281;10/19/202274*86*0.203[7],,,,,,
IS087388391482315342226681;8/6/202224*317*0.101[12],,,,,,
AE227263457228343954210;7/17/202240*347*0.208[10],,,,,,
MD4303348287643766655283;5/4/202233*172*0.9[11],,,,,,
AL30267425663276573652942813;3/9/202255*382*0.095[1],,,,,,
SM5229664310526806154183787;5/25/202247*389*0.093[15],,,,,,
MC8717794233338277203846058;12/16/202230*406*0.489[2],,,,,,
CH9282263067590038440;4/21/202288*176*0.298[8],,,,,,
IE80AYQN44117425736772;7/14/202268*193*0.113[13],,,,,,
LB94637477810518544951951162;10/9/202235*229*0.665[2],,,,,,
SE0776317998256550531684;8/16/202299*260*0.635[15],,,,,,
IS338746071319137738054312;5/2/202240*286*0.871[14],,,,,,
HU53905754566814651810966101;7/23/202282*193*0.151[11],,,,,,
FI3733386134194741;2/11/202275*381*0.825[5],,,,,,
BA107344141331623348;7/13/202218*168*0.925[7],,,,,,
GT92344142226183052324293183;12/24/202231*212*0.127[1],,,,,,
CR4714365467431677166;3/30/202297*441*0.002[6],,,,,,
KW9336355489142045726521641169;7/12/202251*308*0.682[8],,,,,,
LV39CUKE9817766707721;4/5/202257*256*0.514[2],,,,,,
PL09146264248347417431345032;11/29/202287*174*0.578[12],,,,,,
GB70PFAG78566480735884;10/13/202255*348*0.799[10],,,,,,
SI54605918863732208;9/30/202286*331*0.502[3],,,,,,
IS654730285530649425190157;8/15/202265*200*0.287[4],,,,,,
MC5181635869322128864604174;1/29/202289*318*0.645[6],,,,,,
DK8113367252481782;2/24/202282*275*0.483[9],,,,,,
LV08WHSS5514038442365;9/14/202210*148*0.33[14],,,,,,
AZ17141325836512319528470448;3/3/202234*444*0.725[2],,,,,,
TN2247446873274686211251;2/3/202277*219*0.497[3],,,,,,
PS620714117325266372193484572;5/16/202295*357*0.283[10],,,,,,
IS270844866721789942544264;3/24/202299*87*0.326[2],,,,,,
VG4572715293880375900211;2/20/202295*263*0.211[11],,,,,,
CH9827694753772123521;8/26/202265*267*0.624[13],,,,,,
VG6327247186307233652142;9/16/202286*290*0.472[8],,,,,,
TR818396237134047385296382;12/26/202220*490*0.368[6],,,,,,
GI21LAIE101661153046741;1/20/202220*93*0.363[11],,,,,,
PT60874099458144525383501;10/3/202248*347*0.543[11],,,,,,
KZ255965930785317232;5/6/202269*274*0.197[1],,,,,,
RS44613542574690671271;10/23/202254*217*0.199[1],,,,,,
NL50UKDY5574370375;4/1/202299*104*0.523[1],,,,,,
SA8238428712458796734882;2/11/202229*109*0.188[14],,,,,,
KZ578452511668984547;2/12/202279*474*0.129[10],,,,,,
GL1684851267735638;12/13/202282*403*0.332[14],,,,,,
MD1460067328257453301595;6/29/202249*481*0.959[13],,,,,,
BG15STBK39176219733973;4/20/202238*327*0.513[1],,,,,,
BA702920794224187641;10/31/202261*187*0.425[13],,,,,,
SM1326867772150860359368965;8/23/202217*166*0.659[15],,,,,,
SM1059006426350488863016828;9/19/202251*438*0.542[10],,,,,,
LB90859252271582188087389416;2/13/202276*307*0.643[4],,,,,,
PK7087728585361253382883;3/26/202255*151*0.798[12],,,,,,
GR1941350827362447536947407;8/9/202238*242*0.051[4],,,,,,
CR6266138114163847734;7/26/202226*289*0.46[6],,,,,,
AZ09231863127244231538626682;9/16/202243*201*0.685[15],,,,,,
ME39837727274320418386;3/25/202242*174*0.838[12],,,,,,
NO8341186721861;6/29/202212*366*0.343[7],,,,,,
BH50509070146828902314;1/24/202260*131*0.852[9],,,,,,
CR5265468285653395412;5/5/202287*351*0.332[12],,,,,,
IE62HELL83353610952538;2/21/202222*327*0.549[15],,,,,,
FR7078646935384512613738227;3/5/202254*227*0.231[2],,,,,,
PL30701652188411822643487736;8/22/202261*77*0.565[9],,,,,,
BA047354874383531834;10/4/20225*435*0.622[5],,,,,,
DK8651348642426743;5/8/202223*199*0.857[5],,,,,,
HR6340684393736175407;7/29/202282*202*0.817[11],,,,,,
ME56251575388619558053;8/25/202293*131*0.277[5],,,,,,
CR8382189926313396104;11/10/202262*406*0.811[1],,,,,,
MD3693670777768247144812;10/29/202254*458*0.883[12],,,,,,
DO57664101259823133208305051;5/3/202245*139*0.342[11],,,,,,
MK90217687857813481;2/24/202276*227*0.266[1],,,,,,
MK57402412027128776;10/11/20227*151*0.277[3],,,,,,
FI7823244126681443;9/17/202292*394*0.416[4],,,,,,
IS658045196158805442279691;12/11/202274*303*0.121[13],,,,,,
MT07GDWE52845846822708764477423;5/13/202235*415*0.97[7],,,,,,
PK8543833767467821548055;8/26/202214*142*0.979[3],,,,,,
SM9689826773822271033134655;3/10/202266*305*0.249[7],,,,,,
FI6816786097177000;5/29/202295*439*0.425[4],,,,,,
GL6779243342243591;11/27/202297*258*0.297[10],,,,,,
AZ22758514858760578058155514;8/14/202274*86*0.449[6],,,,,,
AT372752861541572158;7/31/202269*451*0.367[8],,,,,,
NL89WKIW7612208544;9/13/202261*133*0.23[1],,,,,,
BH97385573555329511313;8/19/202215*149*0.112[8],,,,,,
FO1382770734696837;7/20/202289*321*0.913[12],,,,,,
LU117790758111318385;10/28/202287*388*0.193[10],,,,,,
BG77MNBZ37681184052168;3/17/202238*263*0.045[3],,,,,,
NL37EXJY7763338475;3/9/202229*475*0.36[1],,,,,,
NL33JGDV1886373037;6/19/202284*339*0.21[7],,,,,,
LV98ZBHM6905545129197;5/4/202259*116*0.021[9],,,,,,
FO2950870285174633;2/11/202211*219*0.776[2],,,,,,
VG0831541740395123754414;7/29/202279*411*0.444[15],,,,,,
DE50058062783823245992;11/15/202214*433*0.651[1],,,,,,
BH75872532168212671800;1/24/202297*418*0.241[15],,,,,,
DK6571094622871312;5/11/202284*296*0.786[14],,,,,,
BG87SIGR18908093475277;11/18/20225*484*0.392[3],,,,,,
GR6535113123615222243175256;11/28/202229*425*0.253[13],,,,,,
GL7436253925451179;10/26/202236*352*0.879[3],,,,,,
NL84SMYW2771857245;3/19/202252*272*0.229[5],,,,,,
BE08765663718464;6/8/202243*395*0.455[6],,,,,,
GB42GVNB71241356577944;12/10/20227*481*0.365[4],,,,,,
GR1775875667258311342437119;5/19/202261*368*0.263[4],,,,,,
SK9417894327328323972723;2/8/202252*85*0.838[12],,,,,,
EE983791266886301849;12/23/202216*142*0.562[4],,,,,,
BA565186069071107836;6/21/202274*359*0.497[9],,,,,,
HU63663032445478654133103340;9/8/202285*472*0.663[14],,,,,,
DE38272387368572663844;5/9/202283*306*0.721[14],,,,,,
KW2025729853764595885447709868;2/7/202214*79*0.521[10],,,,,,
MD5274723628863283216142;6/20/202288*491*0.363[10],,,,,,
SM1967873826841530813872578;10/15/202275*200*0.989[3],,,,,,
HR3275526715830282682;2/1/202289*380*0.74[12],,,,,,
HR5981526745501757135;7/20/202281*449*0.301[10],,,,,,
CH4373711788018336408;6/23/202278*129*0.401[6],,,,,,
GT43352232470416151552427610;8/4/202238*441*0.969[4],,,,,,
LT573848584566736874;11/6/202215*496*0.185[4],,,,,,
TN9024118411432715937426;8/13/202271*410*0.301[5],,,,,,
SM2076046943543343648262514;12/10/202267*418*0.558[15],,,,,,
VG7284209382472181017497;12/19/20224*379*0.039[9],,,,,,
AE514509715903335324766;11/20/202245*363*0.769[7],,,,,,
CR7656422414381996708;12/21/20225*218*0.388[14],,,,,,
MD7279618483041715736744;11/19/20222*135*0.374[11],,,,,,
BG13KKJQ31157151526293;12/25/202254*372*0.286[8],,,,,,
SK4283699780567677405345;12/6/20224*448*0.285[3],,,,,,
BE03216642591511;2/10/202247*329*0.89[2],,,,,,
AE342546685518216557116;5/3/202274*356*0.462[3],,,,,,
GL6631663543181294;12/4/202251*331*0.896[6],,,,,,
PL57075577834519247621226151;1/6/202285*192*0.39[4],,,,,,
MC8687875670899338254376246;11/24/202240*91*0.884[1],,,,,,
MR9444702517841656250101157;1/11/20224*492*0.237[11],,,,,,
LI1325374323422295522;10/11/202226*248*0.451[3],,,,,,
GR1765668125566821263127116;6/9/202224*341*0.42[2],,,,,,
CY12628186144353354751811915;8/20/202288*490*0.359[11],,,,,,
LI0341286184398160323;12/8/202244*479*0.481[4],,,,,,
MD4324588276055364759176;5/10/202241*373*0.846[6],,,,,,
DK4706912263830286;9/12/202210*264*0.623[9],,,,,,
KZ351625328394659555;8/27/202280*385*0.67[9],,,,,,
TR671665323344803472964335;11/22/202298*429*0.101[13],,,,,,
SI81128316398132681;7/16/202280*215*0.624[14],,,,,,
RO40LTGF5234344675725211;4/1/202296*181*0.88[14],,,,,,
MR7110179642287522517241442;5/8/202212*338*0.963[3],,,,,,
BA117161384649117343;2/6/202221*454*0.43[12],,,,,,
HR6904773277323132565;11/8/202219*206*0.096[11],,,,,,
HU84110809224635180789982847;1/22/202243*322*0.993[4],,,,,,
CY83417583174814600131501545;8/24/202268*222*0.57[7],,,,,,
LU867389154127206257;6/3/202294*454*0.461[1],,,,,,
DE33438937047205388857;2/23/202236*92*0.836[8],,,,,,
BA211749631749516054;9/18/202232*492*0.577[4],,,,,,
IS030444439725332514734657;2/9/202283*270*0.165[15],,,,,,
DO50527888594416356153247022;7/6/202274*495*0.556[10],,,,,,
LI8632763740318067327;4/10/202230*112*0.413[6],,,,,,
AD1937179776074854049284;6/1/202270*413*0.163[8],,,,,,
AL07036698331474972435912136;10/31/20226*265*0.589[6],,,,,,
GL1348884288569545;12/9/202274*452*0.817[2],,,,,,
HU52329367364704017563755757;7/12/202237*383*0.287[14],,,,,,
FI2872038584683455;5/10/202282*215*0.054[5],,,,,,
LB15318540340303771158687478;8/26/20222*266*0.903[14],,,,,,
GI32GQUI955139012600246;4/3/202249*313*0.985[10],,,,,,
VG3462776560061558446874;2/23/202282*118*0.337[9],,,,,,
SK9016111596362847646655;8/12/202283*131*0.623[5],,,,,,
DO75547616451738323851968222;4/20/202218*430*0.844[6],,,,,,
IE72LGNA56964556525138;12/9/202216*428*0.401[1],,,,,,
IL677146024247825362223;2/2/202278*322*0.14[6],,,,,,
AL48513817587343849929470571;5/28/202262*100*0.305[15],,,,,,
PK7506698611334638338574;2/13/202212*236*0.836[2],,,,,,
NO1830557365740;7/25/202220*440*0.57[3],,,,,,
VG5762487470862642167228;11/19/202228*353*0.04[11],,,,,,
MD0787313272754734589767;7/19/20227*187*0.262[4],,,,,,
NL74XHMY1256353744;8/25/202293*227*0.951[12],,,,,,
LB79043735883841669648263484;5/8/202245*229*0.826[1],,,,,,
AZ53038181850763111544156185;12/30/202296*153*0.589[4],,,,,,
FR7145707147270185315937862;6/15/202240*407*0.65[10],,,,,,
GB71XWNY17264858642583;3/11/202240*405*0.636[1],,,,,,
BH83727535339387508315;6/30/202287*251*0.69[6],,,,,,
FI3171310774072814;8/23/202238*271*0.56[9],,,,,,
AD6167310286638331809412;12/2/202216*93*0.373[3],,,,,,
GL8743985955752951;8/27/202279*155*0.35[9],,,,,,
MD3331980287852721856678;1/10/202235*325*0.017[2],,,,,,
SK2686615900568256643981;1/18/202266*159*0.896[6],,,,,,
BG40YKBF88481525145134;12/27/20226*238*0.81[12],,,,,,
IE27HWST84396724142376;4/10/202211*103*0.102[12],,,,,,
AD8322797353352101935707;3/25/202261*151*0.559[14],,,,,,
AE572083953465499456739;4/15/202224*479*0.975[1],,,,,,
EE165766154839455935;9/27/202297*156*0.681[7],,,,,,
NO3972224569447;3/27/202262*397*0.001[5],,,,,,
LI4515282517237148627;4/17/202264*397*0.383[1],,,,,,
MK15785642866143347;4/5/202235*338*0.809[14],,,,,,
RO78STCS8194535288577626;5/13/20222*454*0.323[9],,,,,,
EE525652243344848753;9/19/202234*195*0.133[5],,,,,,
IS758457781054813159541427;1/2/202220*470*0.125[10],,,,,,
PK4106934683457992533259;2/12/202240*282*0.915[14],,,,,,
MT35PSQT77786523786660655374687;8/17/202224*213*0.472[12],,,,,,
CY48028631717227393215526748;7/10/202223*376*0.839[15],,,,,,
BA814291795744926312;9/7/202258*303*0.787[14],,,,,,
GT21572575379089788491376605;12/12/202239*240*0.649[9],,,,,,
EE751920268282073038;8/15/202274*309*0.068[14],,,,,,
AD1172173087046936315675;8/25/20229*226*0.789[9],,,,,,
AE381681054418042272158;9/25/202239*179*0.399[14],,,,,,
SK2076160595508719620191;12/29/202255*229*0.087[7],,,,,,
GB35NLIG18629310557166;1/30/202298*129*0.396[14],,,,,,
MD6462487624875486162464;10/30/202297*121*0.118[14],,,,,,
FI1033657687527751;12/21/202291*181*0.887[9],,,,,,
LV08GTGT3473684751126;11/14/202218*127*0.259[15],,,,,,
BA527334628363667944;4/3/202284*222*0.289[1],,,,,,
AL77413565718878861894281266;10/13/202219*394*0.636[11],,,,,,
AL14540866787921558452143604;10/12/202231*424*0.279[14],,,,,,
MC5215862335584464372817486;10/20/202273*349*0.297[5],,,,,,
IL591766060338326638848;7/21/202228*188*0.834[8],,,,,,
LV43PEQT6116176588375;4/9/20226*500*0.331[5],,,,,,
RS42961116126880381208;3/19/202221*85*0.463[1],,,,,,
ME60528086183236253500;7/11/20223*314*0.165[1],,,,,,
EE674037689231854943;3/28/202215*454*0.665[8],,,,,,
BE02393858411287;6/4/202261*282*0.042[15],,,,,,
LV56UVOW1841567364415;8/4/202260*156*0.646[15],,,,,,
GR6655979021676167887828320;2/5/20224*441*0.792[9],,,,,,
NL53SSGI0628346184;6/21/202266*150*0.754[15],,,,,,
AZ67276114339547847128122716;8/25/202220*468*0.853[15],,,,,,
VG0872754720254667486682;12/14/202258*205*0.858[1],,,,,,
AZ58447553687810568517349645;7/10/202234*99*0.541[2],,,,,,
AL21945733194813378439730772;4/30/20223*176*0.702[2],,,,,,
TN4678895582905246413700;9/9/202264*220*0.729[6],,,,,,
DO33936154048469497108259211;8/23/202252*358*0.08[5],,,,,,
GR8667174364395471187647667;3/12/20221*491*0.158[2],,,,,,
LU529488465897389588;1/6/202227*220*0.283[4],,,,,,
ME84663387534798655206;3/2/202281*323*0.964[10],,,,,,
AT338365512633284181;3/15/202250*397*0.941[8],,,,,,
BH77981475266633668299;3/1/202274*431*0.576[9],,,,,,
MR2813162273433886521519757;10/13/20222*114*0.367[14],,,,,,
MT37BCUJ58381034218728930531117;9/23/202289*439*0.241[11],,,,,,
SK6474275801662437195588;9/19/202227*460*0.652[10],,,,,,
MR1915517377163848470166128;8/28/20224*459*0.191[6],,,,,,
HU12417655263563879806820423;9/19/20223*118*0.01[5],,,,,,
MK76297542021858381;4/7/202239*281*0.559[9],,,,,,
GT51915114322251048414607642;6/14/202243*294*0.018[3],,,,,,
GI21FRCM575423512236471;10/27/20224*376*0.288[14],,,,,,
CR5829415118466178859;8/5/202232*183*0.887[6],,,,,,
FI7921458634051373;3/20/202248*134*0.575[7],,,,,,
SM7915361729227547989182474;8/26/202296*128*0.591[11],,,,,,
LU161911995576981378;8/19/202210*453*0.044[10],,,,,,
DO95426255853180564787333028;7/15/202259*437*0.554[1],,,,,,
KW1517703555336531174516852338;4/22/202277*453*0.39[4],,,,,,
GL9051483246431651;3/15/202244*330*0.271[7],,,,,,
EE081996128169681789;4/17/202240*176*0.667[1],,,,,,
ES3717366551685404414518;1/9/202258*192*0.642[6],,,,,,
GE46827294230780213225;1/19/202264*237*0.853[13],,,,,,
IL881512434216558719150;1/24/202246*442*0.238[7],,,,,,
GB02DRSW84845746722640;5/17/202284*284*0.873[7],,,,,,
TN3174821877781647031090;10/24/202254*452*0.944[5],,,,,,
AD9236955258336727472485;10/16/202245*403*0.316[12],,,,,,
FI3713184527510740;11/25/202272*76*0.645[13],,,,,,
CR6855451621591345158;3/28/202270*273*0.603[9],,,,,,
AE675333155142720466677;5/17/202299*260*0.908[15],,,,,,
RO34HDJW0471272234384616;6/23/202288*391*0.071[15],,,,,,
AZ24748589647369234155215662;6/14/202236*410*0.927[5],,,,,,
AT218766401237426835;2/7/202251*409*0.599[2],,,,,,
SA9101475927587212300612;1/22/202296*314*0.552[14],,,,,,
MT09RMYX51571207641105337452383;11/27/202253*438*0.342[7],,,,,,
DK3087290536844684;8/4/20229*162*0.12[2],,,,,,
HU21186383344586323632813656;2/18/202249*468*0.522[4],,,,,,
SE3239103143028343047251;2/10/202268*201*0.17[6],,,,,,
CR5317627262493280440;6/25/202235*324*0.833[15],,,,,,
GI50PLSI616664858208931;10/26/202280*310*0.247[14],,,,,,
BH20513606428104319451;5/12/202271*199*0.065[14],,,,,,
SK9715908018156667257406;11/26/202218*266*0.898[12],,,,,,
MR1832768373138944986817717;12/9/202278*78*0.019[7],,,,,,
LU624268824532638551;9/5/202235*483*0.297[12],,,,,,
MT25VPOU08754055111755115846253;2/7/20229*266*0.803[14],,,,,,
SA7389468310136428484606;10/31/202218*440*0.155[9],,,,,,
IE49HTIN18627742175781;11/17/202210*332*0.775[11],,,,,,
AE186694957153735843548;4/4/202221*312*0.203[15],,,,,,
IL627381632674747136945;8/26/202267*445*0.515[10],,,,,,
KW5837842272486716873232841787;8/21/202239*392*0.932[10],,,,,,
GL0914687361437722;7/3/202293*290*0.564[3],,,,,,
